25.000	.924	.963	1.242	1.195	1.461	1.498	.828	.963	1.099	1.290	1.195	1.099	1.059	.963	1.099	1.290	1.155	1.242	1.195	1.290	1.386	.963	.963	1.242	4.667	3.667	2.500	4.000	4.000	3.500	4.333	3.667	3.000	4.000	4.000	4.000	4.000	3.333	3.500	4.000	3.333	3.000	3.000	2.667	3.500	4.000	3.667	3.500	.667	.833	.667	.563	.667	.833	.813	.833	.667	.563	.500	.667	.417	.444	.500	.833	.667	.833	.500	.833	.444	.833	.750	1.000
30.000	.732	.693	.693	.828	.693	.896	.732	.597	.549	.231	.366	.000	.462	.597	.347	.462	.597	.000	.231	.231	.347	.462	.462	.549	2.333	2.333	1.500	2.333	2.333	1.500	2.333	3.333	1.500	2.333	2.000	2.000	2.333	2.667	1.500	2.333	2.000	1.500	2.000	2.000	1.500	2.000	2.000	1.500	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
33.000	.231	.462	.347	.231	.597	.693	.462	.462	.693	.693	.693	.693	.231	.462	.693	.693	.693	.693	.000	.231	.000	.000	.000	.000	2.667	3.000	2.500	3.333	2.667	2.500	4.000	3.333	3.000	3.333	3.000	2.500	2.333	2.667	2.000	2.000	2.000	2.000	2.000	1.667	1.500	1.000	1.000	1.000	.750	1.000	.833	.875	1.000	.833	.750	1.000	.833	.750	1.000	.833	.646	1.000	.556	.813	1.000	.833	.750	.778	.833	1.000	1.000	1.000
35.000	.231	.462	.000	.462	.693	.896	.000	.597	.000	.462	.597	.000	.000	.231	.000	.231	.462	.347	.000	.231	.000	.000	.231	.000	2.000	2.333	1.000	3.000	2.667	2.500	3.000	2.667	2.000	3.667	3.000	2.000	3.333	3.333	2.000	4.333	3.333	2.000	3.667	3.000	2.000	2.667	2.667	1.500	.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
36.000	.231	.000	.000	.000	.231	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	.000	2.000	1.667	1.500	2.333	2.000	1.500	2.000	2.000	1.500	2.333	2.000	1.500	2.000	1.667	1.500	2.000	1.667	1.500	2.000	1.667	1.000	2.000	1.667	1.500	1.000	1.000	1.000	1.000	1.000	1.000	.875	1.000	1.000	.833	1.000	1.000	.875	1.000	1.000	.833	1.000	1.000	.875	1.000	1.000	.875	1.000	1.000
38.000	.462	.366	.347	.828	.597	.347	.597	.693	.693	.963	.693	.896	.963	.597	.347	1.365	1.073	.347	.693	.597	.347	1.365	1.439	1.354	2.333	1.667	1.500	3.000	2.333	2.000	3.667	2.000	2.500	4.333	2.667	3.000	4.333	3.333	3.000	4.667	3.333	3.000	2.333	2.333	2.000	4.667	3.667	4.000	.688	.833	.778	.833	.833	1.000	.708	.833	1.000	.875	.833	1.000	.750	.778	.833	.875	.583	1.000	.875	.833	1.000	.833	1.000	1.000
42.000	.462	.828	.347	.231	.231	.347	.231	.231	.000	.000	.000	.000	.000	.000	.000	.000	.231	.000	.000	.000	.000	.000	.000	.000	3.667	3.667	3.000	3.667	3.000	2.500	3.333	3.333	2.500	3.000	1.667	2.000	3.000	3.000	2.500	3.000	3.667	2.000	3.000	2.667	1.500	2.333	3.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
51.000	1.290	1.195	1.151	1.461	1.439	1.354	.828	1.059	1.040	.924	.924	1.242	1.230	.828	1.498	.462	.597	.347	1.099	.963	.549	.597	.462	.693	4.000	4.333	3.500	4.000	4.667	4.500	3.333	3.333	3.500	3.333	2.000	3.000	4.000	3.333	2.000	4.333	3.667	2.000	3.333	3.333	3.500	3.333	2.667	1.500	.708	.833	.833	.833	.833	1.000	.750	1.000	1.000	1.000	1.000	1.000	.708	.667	1.000	.625	1.000	.667	.625	.833	.389	1.000	1.000	1.000
52.000	.000	.462	.000	.231	.231	.000	.000	.231	.000	.000	.000	.000	.000	.000	.347	.000	.231	.000	.000	.000	.000	.000	.000	.000	1.333	1.333	1.000	2.333	2.000	1.500	2.000	1.333	1.500	1.333	1.667	1.000	2.333	1.667	1.500	2.333	1.667	1.500	1.333	1.333	1.000	2.000	1.667	1.000	1.000	1.000	1.000	1.000	1.000	.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
56.000	1.099	.828	.693	.828	.732	.693	.462	.462	.347	.828	.597	.549	.828	.597	.896	.462	.462	.347	.231	.231	.347	.828	.693	.896	3.667	3.333	3.000	4.333	4.000	3.000	3.667	2.667	3.000	4.333	3.667	3.500	4.333	3.667	3.000	4.333	3.333	3.000	2.667	2.667	2.000	3.667	3.333	3.000	.750	.667	.667	.875	.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	.875	.667	.833	1.000	1.000	.833	1.000	1.000	1.000	1.000	1.000	1.000
